Received message: {"pid": "user1", "score": 0}
2019-01-18 18:45:17Received message: {"pid": "user109", "score": 108}
2019-01-18 18:45:22Received message: {"pid": "user112", "score": 111}
2019-01-18 18:45:27Received message: {"pid": "user113", "score": 112}
2019-01-18 18:45:32Received message: {"pid": "user114", "score": 113}
2019-01-18 18:45:37Received message: {"pid": "user117", "score": 116}
2019-01-18 18:45:42Received message: {"pid": "user120", "score": 119}
2019-01-18 18:45:47Received message: {"pid": "user121", "score": 120}
2019-01-18 18:45:52Received message: {"pid": "user122", "score": 121}
2019-01-18 18:45:57Received message: {"pid": "user123", "score": 122}
2019-01-18 18:46:02Received message: {"pid": "user124", "score": 123}
2019-01-18 18:46:08Received message: {"pid": "user125", "score": 124}
2019-01-18 18:46:13Received message: {"pid": "user126", "score": 125}
2019-01-18 18:46:18Received message: {"pid": "user127", "score": 126}
2019-01-18 18:46:23Received message: {"pid": "user128", "score": 127}
2019-01-18 18:46:28Received message: {"pid": "user129", "score": 128}
2019-01-18 18:46:33Received message: {"pid": "user130", "score": 129}
2019-01-18 18:46:38Received message: {"pid": "user131", "score": 130}
2019-01-18 18:46:43Received message: {"pid": "user132", "score": 131}
2019-01-18 18:46:48Received message: {"pid": "user133", "score": 132}
2019-01-18 18:46:53Received message: {"pid": "user134", "score": 133}
2019-01-18 18:46:58Received message: {"pid": "user136", "score": 135}
2019-01-18 18:47:03Received message: {"pid": "user137", "score": 136}
2019-01-18 18:47:08Received message: {"pid": "user138", "score": 137}
2019-01-18 18:47:13Received message: {"pid": "user139", "score": 138}
2019-01-18 18:47:18Received message: {"pid": "user141", "score": 140}
2019-01-18 18:47:23Received message: {"pid": "user142", "score": 141}
2019-01-18 18:47:28Received message: {"pid": "user143", "score": 142}
2019-01-18 18:47:33Received message: {"pid": "user145", "score": 144}
2019-01-18 18:47:38Received message: {"pid": "user150", "score": 149}
2019-01-18 18:47:43Received message: {"pid": "user151", "score": 150}
2019-01-18 18:47:48Received message: {"pid": "user152", "score": 151}
2019-01-18 18:47:53Received message: {"pid": "user154", "score": 153}
2019-01-18 18:47:58Received message: {"pid": "user156", "score": 155}
2019-01-18 18:48:03Received message: {"pid": "user159", "score": 158}
2019-01-18 18:48:08Received message: {"pid": "user161", "score": 160}
2019-01-18 18:48:13Received message: {"pid": "user163", "score": 162}
2019-01-18 18:48:18Received message: {"pid": "user168", "score": 167}
2019-01-18 18:48:23Received message: {"pid": "user169", "score": 168}
2019-01-18 18:48:28Received message: {"pid": "user172", "score": 171}
2019-01-18 18:48:33Received message: {"pid": "user173", "score": 172}
2019-01-18 18:48:38Received message: {"pid": "user174", "score": 173}
2019-01-18 18:48:43Received message: {"pid": "user175", "score": 174}
2019-01-18 18:48:48Received message: {"pid": "user177", "score": 176}
2019-01-18 18:48:53Received message: {"pid": "user178", "score": 177}
2019-01-18 18:48:58Received message: {"pid": "user179", "score": 178}
2019-01-18 18:49:03Received message: {"pid": "user180", "score": 179}
2019-01-18 18:49:08Received message: {"pid": "user182", "score": 181}
2019-01-18 18:49:13Received message: {"pid": "user185", "score": 184}
2019-01-18 18:49:18Received message: {"pid": "user186", "score": 185}
2019-01-18 18:49:23Received message: {"pid": "user187", "score": 186}
2019-01-18 18:49:28Received message: {"pid": "user189", "score": 188}
2019-01-18 18:49:33Received message: {"pid": "user190", "score": 189}
2019-01-18 18:49:38Received message: {"pid": "user192", "score": 191}
2019-01-18 18:49:43Received message: {"pid": "user194", "score": 193}
2019-01-18 18:49:48Received message: {"pid": "user196", "score": 195}
2019-01-18 18:49:53Received message: {"pid": "user197", "score": 196}
2019-01-18 18:49:58Received message: {"pid": "user198", "score": 197}
2019-01-18 18:50:03Received message: {"pid": "user199", "score": 198}
2019-01-18 18:50:08
